artist_id,album_id,album_name,album_year,album_description
1,1,Goblin,2011,"GOBLIN is Tyler, The Creator's debut studio album, released in 2011. The album features a mix of rap and horrorcore themes, and it tells the story of a character named Tyler who struggles with his personal life and relationships. The album features collaborations with artists such as Frank Ocean and Hodgy Beats. The album is known for its controversial and provocative lyrics."
1,2,Wolf,2013,"WOLF is Tyler, The Creator's second studio album, released in 2013. The album features a mix of rap, R&B, and soul, and it tells a story of a character named Sam who has conflicts with his friends and family. The album features collaborations with artists such as Frank Ocean, Earl Sweatshirt, and Pharrell Williams."
1,3,Cherry Bomb,2015,"CHERRY BOMB is Tyler, The Creator's third studio album, released in 2015. The album features a mix of rap and experimental music, and it's known for its unique production and eclectic sound. The album features collaborations with artists such as Kanye West, Lil Wayne, and Schoolboy Q."
1,4,Flower Boy,2017,"FLOWER BOY is Tyler, The Creator's fourth studio album, released in 2017. The album features a mix of rap, R&B, and soul, and it's known for its introspective and personal lyrics. The album features collaborations with artists such as Frank Ocean, Kali Uchis, and A$AP Rocky. "
1,5,Igor,2019,"IGOR is Tyler, The Creator's fifth studio album, released in 2019. The album explores themes of heartbreak, self-discovery, and self-acceptance. The album features a unique sound with a mix of hip-hop, R&B, and funk, and it's known for its captivating production and storytelling."
1,6,Call me if you get Lost,2022,"CALL ME IF YOU GET LOST is Tyler, The Creator's sixth studio album, released in 2021. The album features a mix of rap and R&B, and it's a love letter to Tyler's fans. The album features guest appearances from various artists, including Lil Wayne, Pharrell Williams, and Ty Dolla $ign."
2,1,Whenever You Need Somebody,1987,"This was Rick Astley's debut album and it features the hit song 'Never Gonna Give You Up,' which became a viral sensation in recent years as part of the 'rickrolling' internet meme."
2,2,Hold Me in Your Arms,1988,"This album includes the hit single 'She Wants to Dance with Me,' which reached the top 10 in both the UK and the US."
2,3,Free,1991,"This album features the hit song 'Cry for Help,' which was a top 10 hit in both the UK and the US."
2,4,Body And Soul,1993,"This album features a more soulful and R&B-influenced sound compared to Astley's previous albums, and includes covers of songs by artists such as Bob Dylan and Perry Como."
2,5,Keep It Turned On,2001,"This album was Astley's first in over a decade and marks a departure from his previous sound, with a more adult contemporary and acoustic feel."
2,6,Portrait,2005,"This album features a mix of new songs and covers of classic songs such as Don McLean's 'Vincent' and Van Morrison's 'Goodbye Baby (Baby Goodbye).'"
2,7,50s,2016,"This album was released to celebrate Astley's 50th birthday and features a mix of new songs and covers."
2,8,Beautiful Life,2018,"This album marks Astley's return to his signature sound of upbeat, catchy pop music, and includes the singles 'Beautiful Life' and 'Try.'"
3,1,A Boy in Da Corner,2003,"'Boy in da Corner' is Dizzee Rascal's debut album and widely considered a landmark in British Grime. It features raw and minimalist beats paired with Dizzee's aggressive and introspective lyrics, tackling issues such as growing up in a poor neighborhood, violence, racism, and police brutality."
3,2,showtime,2004,"'Showtime' is Dizzee Rascal's second studio album, and it showcases his progression as an artist. The album features more polished and diverse production than his debut, with tracks ranging from grime bangers like 'Stand Up Tall' to more introspective songs like 'Dream.' Dizzee's lyrics also show growth, touching on themes such as fame, success, and the music industry."
3,3,Math + English,2007,"'Maths + English' marks a departure from Dizzee's earlier grime sound and sees him experimenting with different genres, including hip hop, dancehall, and electro. The album features collaborations with artists such as Lily Allen, UGK, and Alex Turner from the Arctic Monkeys. 'Maths + English' received critical acclaim and showcased Dizzee's versatility."
3,4,Tongue n Cheek,2009,"'Tongue n' Cheek' is Dizzee's fourth studio album and his most commercially successful to date. The album features a more upbeat and party-friendly sound than his earlier work, with catchy hooks and collaborations with pop producers and artists such as Calvin Harris and Armand Van Helden. Despite its more accessible sound, the album retains Dizzee's unique style and lyrical wit, exploring topics such as hedonism, love, and the club scene."
3,5,The fifth,2013,"'The Fifth' is Dizzee's fifth studio album, and it sees him blending his signature grime style with pop, hip hop, and EDM influences. The album features collaborations with high-profile artists such as will.i.am, Jessie J, and Robbie Williams. Despite its diverse sound, the album retains Dizzee's unique lyrical style, with tracks exploring themes such as his journey in the music industry, relationships, and the power of music."
3,6,Raskit,2017,"'Raskit' is Dizzee's sixth studio album, and it marks a return to his roots with a stripped-back sound and focus on his lyrics. The album features sparse production and gritty beats, with Dizzee's flow taking center stage. The album explores topics such as politics, social issues, and his own legacy in the music industry, with Dizzee delivering some of his most introspective and thought-provoking lyrics to date."
3,7,E3 AF,2020,"E3 AF is the seventh studio album by British rapper Dizzee Rascal, released in 2020. The title stands for 'E3 African Freestyle' and pays homage to the East London area where Dizzee grew up. The album blends elements of grime, dancehall, and Afrobeats, with features from artists such as Kano, Ghetts, and Afronaut Zu."
